Номер заказа;Дата заказа;Название товара;Категория товара;Количество продаж;Цена за единицу;Общая стоимость
1;2022-01-15;Футболка;Одежда;10;15;150
2;2022-01-16;Кроссовки;Обувь;5;50;250
3;2022-01-16;Носки;Аксессуары;20;3;60
4;2022-01-17;Джинсы;Одежда;8;25;200
5;2022-01-18;Рюкзак;Аксессуары;3;210;630
6;2022-01-18;Майка;Одежда;12;10;120
7;2022-01-18;Кепка;Головные уборы;10;8;80
8;2022-01-19;Очки;Аксессуары;25;10;250
9;2022-01-19;Шорты;Одежда;5;20;100
10;2022-01-19;Резиновые сапоги;Обувь;7;70;490
11;2022-01-20;Сланцы;Обувь;5;17;85
12;2022-01-22;Брелоки;Аксессуары;100;5;500
13;2022-01-23;Шапка;Головные уборы;12;12;144
